Hour,Energy Needed,Solar Energy Generated,Energy Cost at Hour,Hydrogen Needed,Hydrogen Cost at Hour,Energy Purchased,Hydrogen Purchased,Total Cost at Hour,Total Cost ($),Electrolyser Usage
55,0.01910017912,0.004,11.09,21.38307564,10,0.5151001791200001,0.0,5.7124609864408,11872.02776378252,1.0
56,0.1862128014,0.234,10.76,24.64478414,10,0.4522128014,0.0,4.865809743063999,11876.893573525584,1.0
57,0.07165294277,0.61,10.57,5.274714425,10,0.0,0.0,0.0,11876.893573525584,1.0
58,0.1741196095,0.96,7.89,5.236216333,10,0.0,0.0,0.0,11876.893573525584,1.0
59,0.6357505452,1.226,7.07,44.7785598,10,0.0,0.0,0.0,11876.893573525584,1.0
60,0.3693637856,1.392,0.0,31.65280787,10,-0.0,0.0,0.0,11876.893573525584,1.0
61,0.7791822565,1.464,0.0,22.08987284,10,-0.0,0.0,0.0,11876.893573525584,1.0
62,0.844721818,1.448,0.0,25.88811259,10,-0.0,0.0,0.0,11876.893573525584,1.0
63,0.6394802687,1.338,0.0,33.05255183,10,-0.0,0.0,0.0,11876.893573525584,1.0
64,0.6611581616,1.132,7.05,21.46697999,10,0.029158161600000065,0.0,0.20556503928000044,11877.099138564863,1.0
65,0.7710409419,0.836,0.0,31.72515621,10,1.0,0.0,0.0,11877.099138564863,1.0
66,0.3270265864,0.466,10.88,33.74741522,10,0.36102658639999996,0.0,3.927969260032,11881.027107824895,1.0
67,0.9067829169,0.106,0.0,29.67061724,10,2.0,0.0,0.0,11881.027107824895,1.0
68,0.5914053733,0.0,11.58,23.55095297,10,1.0914053733,0.0,12.638474222814,11893.66558204771,1.0
69,0.5306586696,0.0,11.19,7.903276907,10,1.0306586696,0.0,11.533070512823999,11905.198652560533,1.0
70,0.2557500357,0.0,7.32,22.24164355,10,0.7557500357,0.0,5.532090261324,11910.730742821857,1.0
71,0.1096716427,0.0,7.38,6.586484521,10,0.6096716427,0.0,4.499376723126,11915.230119544984,1.0
72,0.1617748104,0.0,7.08,16.74657289,10,0.6617748104,0.0,4.6853656576319995,11919.915485202615,1.0
